    6   36
       -0.6046602880       -0.8764212874        0.8978417047
        0.0003136448       -0.0029285176       -0.1122389347
        0.6850798827       -0.2552700507       -0.7648164156
        0.3613300800        0.9353624643        0.4998749922
       -0.1349450555       -0.7053137842       -0.6767096882
       -0.2468859274       -0.8425546980        0.4775680577
       -0.0438931033        0.6162800481       -0.1891562995
       -0.7590833540        0.2687418439        0.8340554167
       -0.4080852856        0.0033480687       -0.6389022399
        0.2090437893       -0.7733598611        0.3383024180
        0.8424582987       -0.4143640254        0.9795394165
        0.1201357388       -0.1840012213        0.7805372714
        0.7725960351       -0.3380856619        0.9118778776
        0.4759135680       -0.1114912050        0.6815283373
       -0.2772188215       -0.8424109012        0.8195702896
        0.4543918605        0.0204839291       -0.5935586640
       -0.1969078609        0.7667259778       -0.2775571200
       -0.8417795481        0.4153713375       -0.9800629214
       -0.6154255084        0.1854948516       -0.7498306517
        0.3150178330       -0.8499855298       -0.4222028332
        0.5243890656       -0.5571874777       -0.6693843690
       -0.2397340505       -0.7499785756        0.3453406058
        0.9194959729       -0.2323069286       -0.3413743701
       -0.3266577592        0.8993905360       -0.0271454761
       -0.5974986657        0.5766047188       -0.7179675014
        0.7022072160       -0.8261992115        0.8190844951
       -0.4207845689       -0.3864458591        0.4155859962
       -0.4083628195       -0.9648225365        0.0650959217
       -0.6394334363       -0.6380794705       -0.7483694953
       -0.7696442654        0.7987421017        0.2264029196
       -0.8619476695       -0.8616332089       -0.4348959112
        0.0047783971        0.5691752433        0.6873002665
        0.7708172811        0.7931978963       -0.3593501042
       -0.9324105976        0.4966972981        0.0404464384
       -0.3621546842       -0.7957524839       -0.2679966413
        0.2611146441       -0.3654479568        0.8549754655
